Tweet,Positive,Negative,Neutral,Compound,Sentiment
absah omnibus law cipta kerja mari percaya uji rmol id read,0.0,0.0,1.0,0.0,Negativ
adil lbh bang japar buka crisis center yg hilang keluarga mbutuhkan bantu hukum advokasi pasca unjuk sampai dapat kait kesah omnibuslaw uu cipta kerja wilayah jakarta lbh bang japar advokasi,0.0,0.124,0.876,-0.6249,Negativ
agus dalih perintah omnibus law cipta kerja mangkas regulasi benar lantar atur turun banyak atur jihadpmiimenyala,0.0,0.0,1.0,0.0,Negativ
agus takut gelar aksi pandemi covid buat perintah dpr simpang atur diam bahas kesah omnibus law cipta kerja jihadpmiimenyala,0.0,0.0,1.0,0.0,Negativ
aksi balikpapan gerak tolak omnibuslaw turun kuat lipat ganda tolak uu cipta kerjakami tolak judicial review cabutuuciptakerja lmndbergerak cc,0.0,0.0,1.0,0.0,Negativ
aksi gedung dpr ri jakarta buruh klas kerja tolak uu omnibus law cipta kerja uu yg miskin anak anak bangsa indonesia tolakomnibuslaw stoppenetapanperaturanperunfangundangan,0.0,0.0,1.0,0.0,Negativ
aksi gera mosi percaya tolak omnibus law cipta kerja november lokasi jakarta mositidakpercaya cabutomnibuslaw reformasidikorupsi,0.0,0.0,1.0,0.0,Negativ
aksi nasional partai buruh hak asasi manusia dunia tolak uu kuhp cabut omnibus law uu cipta kerja land reform-reforma agraria kedaulautan pangan sahkan ruu pprt tolak upah murah tolak outsourcing juang jamin sosial berantas korupsi usut tuntas ham,0.073,0.0,0.927,0.4404,Positif
aksi tolak suara batal ruu omnibus law cipta kerja daerah jihadpmiimenyala,0.0,0.0,1.0,0.0,Negativ
aksi unjuk tolak undang cipta kerja omnibus law ricuh gedung dprd cianjur jalan kh abdu bin nuh kamis wib infocianjur omnibuslaw,0.0,0.0,1.0,0.0,Negativ
aksi virtual buruh kab serang kait cabut uu omnibuslaw cipta kerja bayar thr full buruhkabserang demiasingluparakyat cabutomnibuslaw,0.0,0.0,1.0,0.0,Negativ
aktivis gelar aksi gedung dpr jakarta juli aksi gera bersihkanindonesia tolak omnibus law ruu cipta kerja,0.0,0.0,1.0,0.0,Negativ
alam dr uu kpk omnibus law cipta kerja otsus papua yg takut sih,0.0,0.0,1.0,0.0,Negativ
alhamdulillah anggota dprd jabat kab pinrangsulsel tolak omnibus law uu cipta kerja tolakuuciptakerja tolakomnibuslaw mositidakpercaya omnibuslawuucilaka,0.0,0.0,1.0,0.0,Negativ
alhamdulillah dampak positif uu omnibus law cipta kerja orang baca ayo baca,0.0,0.0,1.0,0.0,Negativ
alhamdulillah gub jawa barat tolak ruu cipta kerja omnibus law,0.0,0.0,1.0,0.0,Negativ
aman aksi unjuk kasbi jateng halaman kantor gub jateng dgn tuntut tolak omnibus law cipta kerja rkuhp yg ikut orang jatenggayeng,0.0,0.0,1.0,0.0,Negativ
aman unras omnibus law uu cipta kerja,0.0,0.0,1.0,0.0,Negativ
anggota badan legislasi baleg dpr firman soebagyo uu omnibus law cipta kerja solusi hadap sulit ekonomi global akibat pandemik covid omnibuslawuntukumkm omnibuslawsolusi omnibuslawuntukrakyat,0.0,0.0,1.0,0.0,Negativ
anjayani goblog omnibus law ruu cipta kerja siksa buruh youtu be yrgvxcota,0.0,0.0,1.0,0.0,Negativ
apa niat upaya perintah naik taraf hidup kerja omnibuslaw cipta kerja ujung banding untung ya usaha yg untung kodrat bijak milik dualisme impact,0.0,0.0,1.0,0.0,Negativ
apakh gelintir copas yg copaskalok berat kalean joss kyk demo tolak uud cipta kerja tpi yg tolak mlh omnibus law,0.0,0.0,1.0,0.0,Negativ
atur omnibus law cipta kerja atur perintah keras luas lapang kerja masyarakat indonesia barisanprokerja pengangguranakanterserap economy okezone com read,0.0,0.0,1.0,0.0,Negativ
ayo aksi lapang aksi virtual batal omnibus law uu cipta kerja batalkanuuciptakerja batalkanomnibuslaw,0.0,0.0,1.0,0.0,Negativ
baca undang cipta kerja banding undang sektor pasal hapus pasal tambah plus dengar pandang ahli omnibuslaw,0.0,0.0,1.0,0.0,Negativ
back up pribadi dplk asuransi sehat kursus coba bisnis side job kalo omnibus law ruu cipta kerja sah,0.0,0.0,1.0,0.0,Negativ
bahas yg rame sikap omnibus law uu cipta kerja halaman fokus bab iv ketenagakerjaan ya lu ga baca full sampe paham cuman sampe nembak ga amunisi,0.0,0.0,1.0,0.0,Negativ
balik puji u u cipta kerja gatot esuk kedele sore tempe lantar demo anarkis gagal tokoh mencla-mencle youtube com watch v dmasf gatotnurmantyo rudikamri andrevincentwenas omnibuslaw ciptakerja jaga indonesia,0.0,0.091,0.909,-0.3612,Negativ
bank dunia dukung perintah joko widodo jokowi dpr ri uu omnibus law cipta kerja ciptaker nyata tulis jumat bank dunia nilai uu sapu jagat m cnnindonesia com ekonomi,0.0,0.0,1.0,0.0,Negativ
bank dunia puji uu omnibus law amat hmmm tuk penting nyata bank dunia sebut uu omnibus law cipta kerja dukung pulih ekonomi tumbuh jangka tangguh indonesia jumat,0.0,0.0,1.0,0.0,Negativ
bantu paket internet utk mahasiswa realisasi mahasiswa bedah dokumen final omnibus law cipta kerja nonton video singkat jelas,0.0,0.0,1.0,0.0,Negativ
banyak hoax edar media sosial uu omnibuslaw cipta kerja sah dpr akun medsos lembaga resmi perintah klarifikasi keri hoax tangan,0.0,0.189,0.811,-0.4939,Negativ
barusan senior yg anak kuliah trisakti curhat kalo anak abis uang demo omnibus law ruu cipta kerja doa,0.0,0.163,0.837,-0.5106,Negativ
batal omnibus law cipta kerja gak ya golput aja pilkada,0.0,0.0,1.0,0.0,Negativ
be smart netizen edar berita isi uu cipta kerja omnibus law berita hoax imbau masyarakat mudah percaya berita sumber berita,0.118,0.092,0.789,0.1531,Positif
bebas kawan ijul massa aksi omnibuslaw cipta kerja makassar bebaskanijul mositidakpercata tandatangani petisi chng it kdlbmvjb,0.0,0.0,1.0,0.0,Negativ
beda halaman guys draf versi baleg oktober tolong diupload naskah resmi selesai draf uu cipta kerja halaman antar istana idntimes com news indonesia omnibuslaw,0.0,0.0,1.0,0.0,Negativ
berita direktorat tindak pidana siber bareskrim polri tangkap perempuan makassar sulawesi selatan sulsel perempuan inisial ve tetap sangka kait sebar berita bohong hoax omnibus law uu cipta kerja,0.0,0.072,0.928,-0.2732,Negativ
bicara buruh kerja malas ogah demo gaji persentase naik masuk akal satu harap upah buruh indonesia saing negara ruu omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
bikin sakit coba kl kesah ruu omnibus law tunda gk cerita pandemi ruu cipta kerja sah cm picu demo buruh jd klaster tular covid,0.0,0.0,1.0,0.0,Negativ
bilang sapu jagat uu cipta kerja urus tenaga kerja klaster undang yg ubah baca bab tani pangan kebun hutan peduli omnibuslaw,0.0,0.0,1.0,0.0,Negativ
bingung omnibus law bgt kabar kota orang demo btw demo gin ngga kayak si corona mukbang perintah mikir ngga ya dampak ngesahin uu cipta kerja pandemi gin bikin demo,0.0,0.0,1.0,0.0,Negativ
bohong ama dpr turun uu omnibus law cipta kerja yg tau rawan isi ubah,0.0,0.0,1.0,0.0,Negativ
bukti organisasi buruh ikut giat mogok nasional gelar oktober kait isu omnibus law ruu cipta kerja,0.0,0.0,1.0,0.0,Negativ
buruh banten lawan upah murah tuntut revisi umk laku upah sektoral cabut omnibus law cipta kerja inkonstitusional mogokdaerah indonenesiadaruratupah,0.0,0.0,1.0,0.0,Negativ
buruh jawa barat turun aksi tolak naik bbm tuntut cabut omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
buruh mogok kerja respons sah uu omnibus law cipta kerja medan indonesia instagram com p cgaczathir,0.0,0.0,1.0,0.0,Negativ
buruh rakyat gerak cabut omnibus law batal uu cipta kerja cabutomnibuslaw batalkanuuciptakerja,0.0,0.0,1.0,0.0,Negativ
buruhsaya pilih anies baswedanjangan jual nama buruh indonesia jilat uu cipta kerja omnibuslaw dukung capres yg mndukung uu cipta kerja omnibuslaw sma hal mnjilatprcuma kmi trun jlan sdangkan kpala ats brbalik arahtetap anies,0.0,0.0,1.0,0.0,Negativ
butir butir berat kerja buruh jelas ruu cipta kerja ruuciptakerja ruuomnibuslaw omnibuslaw,0.0,0.0,1.0,0.0,Negativ
cabut omnibuslaw batal uu cipta kerja penuh hak buruh,0.266,0.0,0.734,0.4404,Positif
cacat omnibus law kait lingkung cipta kerja sisi condong kawal cabutomnibuslaw,0.0,0.0,1.0,0.0,Negativ
cipayung plus instruksi aksi serentak indonesia tolak uu omnibus law cipta kerja tolakomnisbuslawdpr tolakomnibuslaw tolakpengkhianat tolakruuciptakerja tolakruuiblisomnibuslaw mositidakdipercaya omnibuslawsampah omnibuslawrugikanrakyat dagelanalarezim,0.0,0.0,1.0,0.0,Negativ
ciputat okt aksi mahasiswa tolak uu cipta kerja omnibus law dukung juang buruh tani nelayan rakyat miskin kota gagal atur tindas rakyat mositidakpercaya tolakomnisbuslaw batalkanomnibuslaw dprrikhianatirakyat,0.0,0.0,1.0,0.0,Negativ
coba download baca dg seksama bab iv ruu cipta kerja tulis yg nama jamin sehat sangon upah minimum jatah cuti dll inti gantung janji kerja dg usaha tp baca berita yg ngk yg bener yg omnibuslaw,0.0,0.0,1.0,0.0,Negativ
coba tlg pasal brp yg berat sdh baca blm pdf ruu cipta kerja an halaman arah utk jatohin pakde bakar isu omnibus law bikin ricuh then pakde disalahin,0.0,0.0,1.0,0.0,Negativ
counter hukum hoax omnibus law ruu cipta kerja trenopini com counte sosial media edar narasi tulis nama tulis delegitimasi kritik publik uu omnibus law cipta kerja barus sa,0.0,0.072,0.928,-0.2732,Negativ
counter narasi jgn dikit asing basi bro aja ente bilang kuat alien aksi demonstrasi tolak omnibus law uu cipta kerja,0.0,0.0,1.0,0.0,Negativ
cuti hamil uu pasal buruh perempuan hak dpt istirahat bln n lahir n lahir pd omnibus law cipta lapang kerja gaada yg atur cuti hamil utk buruh perempuan hapus atur yg cantum dlm uu,0.086,0.0,0.914,0.4404,Positif
daftar serial diskusi omnibus law cipta kerja sesi buka rabu oktober sesi wib sesi wib live via zoom youtube unpar official link daftar bit ly registrasidisp,0.126,0.0,0.874,0.5574,Positif
dampak laku omnibus law uu budak cipta kerja lihat video jiwa tenang tiktok vt tiktok com zsljfmfpo,0.0,0.0,1.0,0.0,Negativ
damping serta aksi tolak omnibus law uu cipta kerja orang laki perempuan lpbhnu banyuwangi,0.0,0.0,1.0,0.0,Negativ
dar kemarin jagad indonesia penuh bahas omnibus law cipta kerja sosialisasi paham sepenuh yg edar potong pasal atur yg agam,0.0,0.0,1.0,0.0,Negativ
demo bodoh demo bela jahat demo bodoh uu cipta kerja omnibuslaw lihat draff yg asli yg hoax yg kirim ama partai gurem fpi lihat draf yg asli yg depnaker,0.0,0.07,0.93,-0.2732,Negativ
demo demo omnibus law nggak sdh tugas mahasiswa buruh pd demo laku uu cipta kerja or omnibus law demo deer feeding with papaya n sweet poteto ketela rambat murni demo gak yg tunggang,0.088,0.0,0.912,0.4588,Positif
demo mahasiswa buruh tolak omnibus law uu cipta kerja istana merdeka anarkis rusa gedung kantor mobil bakar halte busway fasilitas publik stay safe,0.116,0.0,0.884,0.4404,Positif
demo omnibus law cipta kerja sarbumusi kab pasuruan kumandang yalal wathan,0.0,0.0,1.0,0.0,Negativ
demokratis negara pretel wenang kpk berantas korupsi revisi undang kembali sentralisasi omnibus law uu cipta kerja tahan watak otoritarianisme kuhp legislasi,0.0,0.0,1.0,0.0,Negativ
dengar jelas presiden uu cipta kerja omnibus law sore istana bogor lantas yg gagal paham lagak dungu pura tdk paham tutup mata tutup telinga,0.0,0.098,0.902,-0.3612,Negativ
dewan hormat masyarakat tolak omnibus law uu cipta kerja terang an hapus sila ke pancasila,0.0,0.0,1.0,0.0,Negativ
diskusi sehat ttg omnibus law dgn loyalis jokowi kawan yg kontra uu cipta kerja lmnd moderator yg pro uu cabut jegalsampaibatal,0.0,0.0,1.0,0.0,Negativ
